id,platform,subsidiary_platform,file_name,description,path,prefix_format,template_path,prefix_parameters,is_pasered,prompt_message,div,time_format,,filter_factor,parsing_format,,,
1,ssh-proxy,gerrit,gerrit-ssh-proxy.log,记录每个请求被转发到哪个gerrit节点，以及请求的用户工号、仓库等请求信息,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/gerrit-ssh-proxy.log,^(\d{4}-\d{2}-\d{2}) (\d{2}:\d{2}:\d{2})\.\d{3} \|-([A-Z]+),,"['date','time','level']",1,,1,%Y-%m-%d %H:%M:%S,,"user_ip,repository,user_id",,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/gerrit-ssh-proxy.log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/gerrit-ssh-proxy.log
2,gerrit,,sshd_log,gerrit节点都会有的日志，记录所有对当前gerrit节点的ssh请求的相关信息，记录连接时间,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/sshd_log,"^\[(\d{4}-\d{2}-\d{2}) (\d{2}:\d{2}:\d{2}),\d{3} [+-]\d{4}\]",,"['date','time']",1,,1,%Y-%m-%d %H:%M:%S,,用户ip，工号,,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/sshd_log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/sshd_log
3,gerrit,,highAvailability_log,gerrit节点的高可用日志，记录节点处理的操作事件信息。只在gerrit主库的http节点、ssh节点和gerrit事件节点会存储，gerrit主库存储的highAvailability_log存储所有节点的事件信息,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/highAvailability_log,"^\[(?P<date>\d{4}-\d{2}-\d{2}) (?P<time>\d{2}:\d{2}:\d{2}),\d{3}\]",,"['date','time']",1,有关代码同步的日志其任务类型为ref-replicated,0,%Y-%m-%d %H:%M:%S,,"用户ip，用户工号，用户姓名,仓库名,gerrit任务类型，commitid,changeid",,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/highAvailability_log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/highAvailability_log
4,gerrit,,before_rep_log,gerrit主库节点（gerrit主库ssh节点、http节点））日志都会有的日志，操作事件发出前记录，查看事件是否有丢失，在哪里丢失,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/before_rep_log,"^\[(\d{4}-\d{2}-\d{2})\s(\d{2}:\d{2}:\d{2}),\d+\]\s+(\S+)",,"['date','time','job']",1,,0,%Y-%m-%d %H:%M:%S,,repository,,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/before_rep_log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/before_rep_log
5,gerrit,,after_rep_log,gerrit主库节点（gerrit主库ssh节点、http节点））日志都会有的日志，操作事件发出结束后记录，查看事件是否有丢失，在哪里丢失,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/after_rep_log,"^\[(\d{4}-\d{2}-\d{2})\s(\d{2}:\d{2}:\d{2}),\d+\]\s+(\S+)",,"['date','time','job']",1,,0,%Y-%m-%d %H:%M:%S,,repository,,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/after_rep_log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/after_rep_log
6,nginx,gerrit,ssh_access.log,"记录用户通过ssh方式发起的请求信息（当前日志记录用户向gerrit的请求）。
当前日志文件中记录的信息十分规整，以8个`[]`进行分割
分别代表：`时间戳`，`http状态码`，`客户端ip地址`，`请求处理时间`，`协议类型`，`请求字节数`，`相应字节数`，`目标ssh代理链路地址`",/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/ssh_access.log,^\[(\d{2}/[A-Za-z]{3}/\d{4}):(\d{2}:\d{2}:\d{2})\s[+-]\d{4}\],,"['date','time']",1,"
注意，当前nginx配置配置的超时时间为1800秒，即当`请求处理时间`大于1800时判断超时，视为请求失败Nginx会主动关闭该连接以释放资源。",1,%d/%b/%Y %H:%M:%S,,user_ip，ssh代理链路地址,,,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/ssh_access.log,/home/6000015813/PycharmProjects/fault-analysis/resource/log/tmp/ssh_access.log
7,gerrit,,httpd_log,记录所有对当前gerrit节点的http请求的相关信息，记录连接时间,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/httpd_log,\[([0-9]{2}/[A-Za-z]{3}/[0-9]{4}):([0-9]{2}:[0-9]{2}:[0-9]{2}) [+-][0-9]{4}\],,"['date','time']",1,,1,%d/%b/%Y %H:%M:%S,,用户ip、工号,,,,
8,nginx,gerrit,https_access.log,"nginx组件记录用户通过http方式发起的请求信息（当前日志记录用户向gerrit的请求）。
当前日志文件中记录的信息十分规整，以16个`[]`进行分割
分别代表：[`时间戳`][`http状态码`][`主机ip地址`][`主机ip（可能为空）`][`请求处理时间`][`请求大小`][-][-][`请求方式及协议`][`发起客户端/浏览器`][-][-][-][返回字节数大小][转发主机及对应端口][请求响应时间]",/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/https_access.log,^\[(\d{2}/[A-Za-z]{3}/\d{4}):(\d{2}:\d{2}:\d{2}) [+-]\d{4}\],,"['date','time']",1,响应时间一般在毫秒级，若时间过长则表示用户界面可能出现卡顿,1,%d/%b/%Y %H:%M:%S,,用户工号、用户ip,,,,
9,gerrit,,gerrit-stderr---supervisor.log,Supervisor 进程管理工具捕获的 Gerrit 输出日志，记录gerrit事件。,/home/6000015813/PycharmProjects/fault-analysis/resource/log/raw/gerrit-stderr---supervisor.log,"^\[(\d{4}-\d{2}-\d{2}) (\d{2}:\d{2}:\d{2}),\d{3}\]",,"['date','time']",1,,1,%Y-%m-%d %H:%M:%S,,git仓库路径，用户工号,^\[[^\]]+\]\s+\[([^\]]+)\]\s+([A-Z]+)\s+([^\s:]+)(?=\s*:),,,
10,jfrog,,access.log,记录 请求日期，请求类型，制品库url，客户端ip，请求账号，账号鉴权结果,/home/6000015813/PycharmProjects/fault-analysis/resource/log/jfrog/artifactory/access.log,"(\\d{4}-\\d{2}-\\d{2}) (\\d{2}:\\d{2}:\\d{2}),",,"['date','time']",1,,1,%Y-%m-%d %H:%M:%S,,,,,,
